ACADC	abbey
ACADD	abide
ACADH	able
ACADS	aboard
ACAHC	about
ACAHD	above
ACAHH	abroad
ACAHS	absent
ACASC	absorb
ACASD	absurd
ACASH	abuse
ACASS	abused
AC2CC	abuses
AC2CD	accent
AC2CH	accept
AC2CS	access
AC2DC	accord
AC2DD	ace
AC2DH	aces
AC2DS	acid
AC2HC	acids
AC2HD	acne
AC2HH	acorn
AC2HS	acre
AC2SC	acres
AC2SD	across
AC2SH	act
AC2SS	acted
AC3CC	acting
AC3CD	action
AC3CH	active
AC3CS	actor
AC3DC	actors
AC3DD	acts
AC3DH	actual
AC3DS	acute
AC3HC	adapt
AC3HD	add
AC3HH	added
AC3HS	addict
AC3SC	adding
AC3SD	adds
AC3SH	adhere
AC3SS	adjust
AC4CC	admire
AC4CD	admit
AC4CH	admits
AC4CS	adobe
AC4DC	adopt
AC4DD	ads
AC4DH	adult
AC4DS	adults
AC4HC	advent
AC4HD	advert
AC4HH	advice
AC4HS	advise
AC4SC	aerial
AC4SD	affair
AC4SH	affect
AC4SS	afford
AC5CC	afraid
AC5CD	after
AC5CH	again
AC5CS	age
AC5DC	aged
AC5DD	ageing
AC5DH	agency
AC5DS	agenda
AC5HC	agent
AC5HD	agents
AC5HH	ages
AC5HS	agile
AC5SC	aging
AC5SD	ago
AC5SH	agree
AC5SS	agreed
AC6CC	agrees
AC6CD	ahead
AC6CH	aid
AC6CS	aide
AC6DC	aided
AC6DD	aids
AC6DH	aim
AC6DS	aimed
AC6HC	aiming
AC6HD	aims
AC6HH	air
AC6HS	aired
AC6SC	aisle
AC6SD	akin
AC6SH	alarm
AC6SS	alarms
AC7CC	alas
AC7CD	albeit
AC7CH	album
AC7CS	albums
AC7DC	ale
AC7DD	alert
AC7DH	alerts
AC7DS	algae
AC7HC	alias
AC7HD	alien
AC7HH	aliens
AC7HS	align
AC7SC	alike
AC7SD	alive
AC7SH	all
AC7SS	alley
AC8CC	allied
AC8CD	allies
AC8CH	allow
AC8CS	allows
AC8DC	alloy
AC8DD	alloys
AC8DH	ally
AC8DS	almond
AC8HC	almost
AC8HD	alone
AC8HH	along
AC8HS	aloud
AC8SC	alpha
AC8SD	also
AC8SH	altar
AC8SS	alter
AC9CC	alto
AC9CD	always
AC9CH	amazed
AC9CS	amber
AC9DC	amen
AC9DD	amend
AC9DH	amid
AC9DS	among
AC9HC	amount
AC9HD	amp
AC9HH	ample
AC9HS	amps
AC9SC	anal
AC9SD	analog
AC9SH	anchor
AC9SS	and
ACTCC	anemia
ACTCD	angel
ACTCH	angels
ACTCS	anger
ACTDC	angle
ACTDD	angles
ACTDH	angry
ACTDS	animal
ACTHC	ankle
ACTHD	annals
ACTHH	annex
ACTHS	annual
ACTSC	anon
ACTSD	answer
ACTSH	ant
ACTSS	anthem
ACJCC	ants
ACJCD	any
ACJCH	anyone
ACJCS	anyway
ACJDC	apart
ACJDD	ape
ACJDH	apex
ACJDS	appeal
ACJHC	appear
ACJHD	append
ACJHH	apple
ACJHS	apples
ACJSC	apply
ACJSD	apt
ACJSH	arbor
ACJSS	arc
ACQCC	arcade
ACQCD	arch
ACQCH	archer
ACQCS	are
ACQDC	area
ACQDD	areas
ACQDH	arena
ACQDS	ares
ACQHC	argue
ACQHD	argued
ACQHH	argues
ACQHS	aria
ACQSC	arid
ACQSD	arise
ACQSH	arises
ACQSS	ark
ACKCC	arm
ACKCD	armed
ACKCH	armies
ACKCS	armor
ACKDC	arms
ACKDD	army
ACKDH	aroma
ACKDS	arose
ACKHC	around
ACKHD	array
ACKHH	arrays
ACKHS	arrest
ACKSC	arrive
ACKSD	arrow
ACKSH	arrows
ACKSS	art
ADAHC	artery
ADAHD	artist
ADAHH	arts
ADAHS	ash
ADASC	ashes
ADASD	aside
ADASH	ask
ADASS	asked
AD2CC	asking
AD2CD	asks
AD2CH	asleep
AD2CS	aspect
AD2DC	aspen
AD2DD	aspire
AD2DH	ass
AD2DS	assert
AD2HC	asses
AD2HD	assess
AD2HH	asset
AD2HS	assets
AD2SC	assign
AD2SD	assist
AD2SH	assume
AD2SS	assure
AD3CC	asthma
