compound_id,lb,ub
MNX:MNXM2,1E-06,0.01
MNX:MNXM3,0.005,0.005
MNX:MNXM8,0.001,0.001
MNX:MNXM10,0.0001,0.0001
MNX:MNXM6,0.0001,0.0001
MNX:MNXM5,1E-05,1E-05
MNX:MNXM4,0.000273,0.000273
MNX:MNXM7,0.0005,0.0005
MNX:MNXM9,0.01,0.01
MNX:MNXM12,0.001,0.001
MNX:MNXM13,1E-05,1E-05
MNX:MNXM11,0.001,0.001
MNX:MNXM15,0.01,0.01
MNX:MNXM17,1E-06,0.01
MNX:MNXM33,0.0001,0.0001
MNX:MNXM14,0.0005,0.0005
MNX:MNXM95120,1E-06,0.01
MNX:MNXM22,1E-06,0.01
MNX:MNXM8975,1E-06,0.01
MNX:MNXM24,1E-06,0.01
MNX:MNXM1932,1E-06,0.01
MNX:MNXM30,1E-06,0.01
MNX:MNXM51,1E-06,0.01
MNX:MNXM57,0.017,0.017
MNX:MNXM31,1E-06,0.01
MNX:MNXM58,1E-06,0.01
MNX:MNXM63,1E-06,0.01
MNX:MNXM121,1E-06,0.01
MNX:MNXM1,1E-06,0.01
MNX:MNXM423,1E-06,0.01
MNX:MNXM89,1E-06,0.01
MNX:MNXM107,1E-06,0.01
MNX:MNXM105630,1E-06,0.01
MNX:MNXM89609,1E-06,0.01
MNX:MNXM495,1E-06,0.01
MNX:MNXM80,1E-06,0.01
MNX:MNXM220,1E-06,0.01
MNX:MNXM5749,1E-06,0.01
MNX:MNXM746,1E-06,0.01
MNX:MNXM151,0.0024,0.0024
MNX:MNXM125,1E-06,0.01
MNX:MNXM286,1E-06,0.01
MNX:MNXM169,0.0001,0.0001
MNX:MNXM178,0.0001,0.0001
MNX:MNXM113,1E-06,0.01
MNX:MNXM90960,1E-06,0.01
MNX:MNXM433,1E-06,0.01
MNX:MNXM96380,0.005,0.005
MNX:MNXM374,1E-06,0.01
MNX:MNXM207,1E-06,0.01
MNX:MNXM195,1E-06,0.01
MNX:MNXM89582,1E-06,0.01
MNX:MNXM344,1E-06,0.01
MNX:MNXM1847,1E-06,0.01
MNX:MNXM653,1E-06,0.01
MNX:MNXM323,1E-06,0.01
MNX:MNXM96993,0.0001,0.0001
MNX:MNXM148,0.0001,0.0001
MNX:MNXM432,1E-06,0.01
MNX:MNXM436,1E-06,0.01
MNX:MNXM546,1E-06,0.01
MNX:MNXM152,1E-06,0.01
MNX:MNXM257,1E-06,0.01
MNX:MNXM234,1E-06,0.01
MNX:MNXM202,0.0001,0.0001
MNX:MNXM176,0.0001,0.0001
MNX:MNXM96055,0.0005,0.0005
MNX:MNXM394,1E-06,0.01
MNX:MNXM452,1E-06,0.01
MNX:MNXM55844,1E-06,0.01
MNX:MNXM228,1E-06,0.01
MNX:MNXM804,1E-06,0.01
MNX:MNXM1195,1E-06,0.01
MNX:MNXM724,1E-06,0.01
MNX:MNXM1562,1E-06,0.01
MNX:MNXM330,1E-06,0.01
MNX:MNXM163,1E-06,0.01
MNX:MNXM996,1E-06,0.01
MNX:MNXM166,0.0001,0.0001
MNX:MNXM309,1E-06,0.01
MNX:MNXM372,0.0001,0.0001
MNX:MNXM579,1E-06,0.01
MNX:MNXM520,0.0001,0.0001
MNX:MNXM4041,1E-06,0.01
MNX:MNXM833,1E-06,0.01
MNX:MNXM43,1E-06,0.01
MNX:MNXM2174,1E-06,0.01
MNX:MNXM1325,1E-06,0.01
MNX:MNXM572,1E-06,0.01
MNX:MNXM38,0.0001,0.0001
MNX:MNXM945,1E-06,0.01
MNX:MNXM3561,1E-06,0.01
MNX:MNXM2006,1E-06,0.01
MNX:MNXM92652,1E-06,0.01
MNX:MNXM81795,1E-06,0.01
MNX:MNXM1781,1E-06,0.01
MNX:MNXM1851,1E-06,0.01
MNX:MNXM3570,1E-06,0.01
MNX:MNXM2154,1E-06,0.01
MNX:MNXM2146,1E-06,0.01
MNX:MNXM1339,1E-06,0.01
MNX:MNXM7296,1E-06,0.01
MNX:MNXM1428,1E-06,0.01
MNX:MNXM1157,1E-06,0.01
MNX:MNXM2282,1E-06,0.01
MNX:MNXM442,0.0001,0.0001
MNX:MNXM1922,1E-06,0.01
MNX:MNXM658,1E-06,0.01
MNX:MNXM4835,1E-06,0.01
MNX:MNXM970,1E-06,0.01
MNX:MNXM111,1E-06,0.01
MNX:MNXM196,1E-06,0.01
