ACADC	aback
ACADD	abate
ACADH	abbey
ACADS	abbot
ACAHC	abet
ACAHD	abhor
ACAHH	abide
ACAHS	able
ACASC	abode
ACASD	abort
ACASH	about
ACASS	above
AC2CC	abuse
AC2CD	abyss
AC2CH	ace
AC2CS	aced
AC2DC	aces
AC2DD	ache
AC2DH	aches
AC2DS	acid
AC2HC	acids
AC2HD	acing
AC2HH	acne
AC2HS	acorn
AC2SC	acre
AC2SD	acres
AC2SH	acrid
AC2SS	act
AC3CC	acted
AC3CD	actor
AC3CH	acts
AC3CS	acute
AC3DC	adage
AC3DD	adapt
AC3DH	add
AC3DS	added
AC3HC	adds
AC3HD	adept
AC3HH	admit
AC3HS	ado
AC3SC	adobe
AC3SD	adopt
AC3SH	adore
AC3SS	ads
AC4CC	adult
AC4CD	aeon
AC4CH	aeons
AC4CS	afar
AC4DC	affix
AC4DD	afoot
AC4DH	after
AC4DS	again
AC4HC	age
AC4HD	aged
AC4HH	agent
AC4HS	ages
AC4SC	agile
AC4SD	aging
AC4SH	ago
AC4SS	agony
AC5CC	agree
AC5CD	ahead
AC5CH	ahoy
AC5CS	aid
AC5DC	aide
AC5DD	aided
AC5DH	aides
AC5DS	aids
AC5HC	ails
AC5HD	aim
AC5HH	aimed
AC5HS	aims
AC5SC	air
AC5SD	aired
AC5SH	airs
AC5SS	airy
AC6CC	aisle
AC6CD	ajar
AC6CH	akin
AC6CS	alarm
AC6DC	alas
AC6DD	album
AC6DH	ale
AC6DS	alert
AC6HC	ales
AC6HD	algae
AC6HH	alias
AC6HS	alibi
AC6SC	alien
AC6SD	align
AC6SH	alike
AC6SS	alive
AC7CC	all
AC7CD	allah
AC7CH	alley
AC7CS	allot
AC7DC	allow
AC7DD	alloy
AC7DH	ally
AC7DS	alms
AC7HC	aloft
AC7HD	alone
AC7HH	along
AC7HS	aloof
AC7SC	aloud
AC7SD	alpha
AC7SH	also
AC7SS	altar
AC8CC	alter
AC8CD	altho
AC8CH	alto
AC8CS	altos
AC8DC	amass
AC8DD	amaze
AC8DH	amber
AC8DS	ameer
AC8HC	amen
AC8HD	amend
AC8HH	amid
AC8HS	amir
AC8SC	amiss
AC8SD	amok
AC8SH	among
AC8SS	amp
AC9CC	ample
AC9CD	amps
AC9CH	amuse
AC9CS	anal
AC9DC	and
AC9DD	anew
AC9DH	angel
AC9DS	anger
AC9HC	angle
AC9HD	angry
AC9HH	angst
AC9HS	ani
AC9SC	ankle
AC9SD	annex
AC9SH	annoy
AC9SS	anon
ACTCC	ant
ACTCD	ants
ACTCH	anus
ACTCS	anvil
ACTDC	any
ACTDD	aorta
ACTDH	apart
ACTDS	ape
ACTHC	apes
ACTHD	apex
ACTHH	apple
ACTHS	apply
ACTSC	april
ACTSD	apron
ACTSH	apt
ACTSS	aptly
ACJCC	arbor
ACJCD	arc
ACJCH	arch
ACJCS	arcs
ACJDC	ardor
ACJDD	are
ACJDH	area
ACJDS	areas
ACJHC	arena
ACJHD	ares
ACJHH	argue
ACJHS	aria
ACJSC	arias
ACJSD	arid
ACJSH	arise
ACJSS	ark
ACQCC	arm
ACQCD	armed
ACQCH	armor
ACQCS	arms
ACQDC	army
ACQDD	aroma
ACQDH	arose
ACQDS	array
ACQHC	arrow
ACQHD	arson
ACQHH	art
ACQHS	arts
ACQSC	ash
ACQSD	ashen
ACQSH	ashes
ACQSS	asian
ACKCC	aside
ACKCD	ask
ACKCH	asked
ACKCS	askew
ACKDC	asks
ACKDD	aspen
ACKDH	ass
ACKDS	asses
ACKHC	asset
ACKHD	ate
ACKHH	atlas
ACKHS	atom
ACKSC	atoms
ACKSD	atone
ACKSH	attic
ACKSS	audio
ADAHC	audit
ADAHD	aunt
ADAHH	aunts
ADAHS	aura
ADASC	aural
ADASD	auras
ADASH	auto
ADASS	autos
AD2CC	avail
AD2CD	avert
AD2CH	avid
AD2CS	avoid
AD2DC	await
AD2DD	awake
AD2DH	award
AD2DS	aware
AD2HC	away
AD2HD	awe
AD2HH	awed
AD2HS	awful
AD2SC	awoke
AD2SD	awry
AD2SH	axe
AD2SS	axed
AD3CC	axes
AD3CD	axiom
AD3CH	axis
AD3CS	axle
AD3DC	axles
AD3DD	aye
AD3DH	azure
AD3DS	babe
AD3HC	babes
AD3HD	baby
AD3HH	back
AD3HS	backs
AD3SC	bacon
AD3SD	bad
AD3SH	badge
AD3SS	badly
AD4CC	bag
AD4CD	bagel
AD4CH	baggy
AD4CS	bags
AD4DC	bail
AD4DD	bails
AD4DH	bait
AD4DS	baits
AD4HC	bake
AD4HD	baked
AD4HH	baker
AD4HS	bakes
AD4SC	bald
AD4SD	bale
AD4SH	bales
AD4SS	balk
AD5CC	ball
AD5CD	balls
AD5CH	balm
AD5CS	balms
AD5DC	ban
AD5DD	banal
AD5DH	band
AD5DS	bands
AD5HC	bang
AD5HD	bangs
AD5HH	bani
AD5HS	banjo
AD5SC	bank
AD5SD	banks
AD5SH	bans
AD5SS	bar
AD6CC	barb
AD6CD	barbs
AD6CH	bard
AD6CS	bards
AD6DC	bare
AD6DD	bared
AD6DH	bares
AD6DS	barge
AD6HC	bark
AD6HD	barks
AD6HH	barn
AD6HS	barns
AD6SC	baron
AD6SD	bars
AD6SH	base
AD6SS	based
AD7CC	bases
AD7CD	bash
AD7CH	basic
AD7CS	basil
AD7DC	basin
AD7DD	basis
AD7DH	bask
AD7DS	bass
AD7HC	bat
AD7HD	batch
AD7HH	bath
AD7HS	bathe
AD7SC	baths
AD7SD	baton
AD7SH	bats
AD7SS	baud
AD8CC	bawl
AD8CD	bawls
AD8CH	bay
AD8CS	bayou
AD8DC	bays
AD8DD	beach
AD8DH	bead
AD8DS	beads
AD8HC	beady
AD8HD	beak
AD8HH	beaks
AD8HS	beam
AD8SC	beams
AD8SD	bean
AD8SH	beans
AD8SS	bear
AD9CC	beard
AD9CD	bears
AD9CH	beast
AD9CS	beat
AD9DC	beats
AD9DD	bed
AD9DH	beds
AD9DS	bee
AD9HC	beech
AD9HD	beef
AD9HH	beefs
AD9HS	beefy
AD9SC	been
AD9SD	beer
AD9SH	beers
AD9SS	bees
ADTCC	beet
ADTCD	beets
ADTCH	beg
ADTCS	began
ADTDC	begin
ADTDD	begs
ADTDH	begun
ADTDS	beige
ADTHC	being
ADTHD	belch
ADTHH	bell
ADTHS	bells
ADTSC	belly
ADTSD	below
ADTSH	belt
ADTSS	belts
ADJCC	bench
ADJCD	bend
ADJCH	bends
ADJCS	bent
ADJDC	beret
ADJDD	berry
ADJDH	berth
ADJDS	beset
ADJHC	best
ADJHD	bests
ADJHH	bet
ADJHS	beta
ADJSC	bets
ADJSD	bias
ADJSH	bib
ADJSS	bible
ADQCC	bibs
ADQCD	bid
ADQCH	bide
ADQCS	bids
ADQDC	big
ADQDD	bigot
ADQDH	bike
ADQDS	biked
ADQHC	bikes
ADQHD	bile
ADQHH	bill
ADQHS	bills
ADQSC	bin
ADQSD	bind
ADQSH	binds
ADQSS	bingo
